FeatureN	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21
50	Hyperdiploid	Hyperdiploid	Hyperdiploid	Hyperdiploid	Hyperdiploid	Hyperdiploid	Hyperdiploid	Hyperdiploid	Hyperdiploid	Hyperdiploid	Hyperdiploid	Hyperdiploid	Hyperdiploid	Hyperdiploid	Hyperdiploid	Hyperdiploid	Hyperdiploid	Hyperdiploid	Hyperdiploid	Hyperdiploid
500	Hyperdiploid	Hyperdiploid	Hyperdiploid	Hyperdiploid	Hyperdiploid	Hyperdiploid	Hyperdiploid	Hyperdiploid	Hyperdiploid	Hyperdiploid	Hyperdiploid	Hyperdiploid	Hyperdiploid	Hyperdiploid	Hyperdiploid	Hyperdiploid	Hyperdiploid	Hyperdiploid	Hyperdiploid	Hyperdiploid
950	Hyperdiploid	Hyperdiploid	Hyperdiploid	Hyperdiploid	Hyperdiploid	Hyperdiploid	Hyperdiploid	Hyperdiploid	Hyperdiploid	Hyperdiploid	Hyperdiploid	Hyperdiploid	Hyperdiploid	Hyperdiploid	Hyperdiploid	Hyperdiploid	Hyperdiploid	Hyperdiploid	Hyperdiploid	Hyperdiploid
1400	Hyperdiploid	Hyperdiploid	Hyperdiploid	Hyperdiploid	Hyperdiploid	Hyperdiploid	Hyperdiploid	Hyperdiploid	Hyperdiploid	Hyperdiploid	Hyperdiploid	Hyperdiploid	Hyperdiploid	Hyperdiploid	Hyperdiploid	Hyperdiploid	Hyperdiploid	Hyperdiploid	Hyperdiploid	Hyperdiploid
1850	Hyperdiploid	Hyperdiploid	Hyperdiploid	Hyperdiploid	Hyperdiploid	Hyperdiploid	Hyperdiploid	Hyperdiploid	Hyperdiploid	Hyperdiploid	Hyperdiploid	Hyperdiploid	Hyperdiploid	Hyperdiploid	Hyperdiploid	Hyperdiploid	Hyperdiploid	Hyperdiploid	Hyperdiploid	Hyperdiploid
2300	Hyperdiploid	Hyperdiploid	Hyperdiploid	Hyperdiploid	Hyperdiploid	Hyperdiploid	Hyperdiploid	Hyperdiploid	Hyperdiploid	Hyperdiploid	Hyperdiploid	Hyperdiploid	Hyperdiploid	Hyperdiploid	Hyperdiploid	Hyperdiploid	Hyperdiploid	Hyperdiploid	Hyperdiploid	Hyperdiploid
2750	Hyperdiploid	Hyperdiploid	Hyperdiploid	Hyperdiploid	Hyperdiploid	Hyperdiploid	Hyperdiploid	Hyperdiploid	Hyperdiploid	Hyperdiploid	Hyperdiploid	Hyperdiploid	Hyperdiploid	Hyperdiploid	Hyperdiploid	Hyperdiploid	Hyperdiploid	Hyperdiploid	Hyperdiploid	Hyperdiploid
3200	Hyperdiploid	Hyperdiploid	Hyperdiploid	Hyperdiploid	Hyperdiploid	Hyperdiploid	Hyperdiploid	Hyperdiploid	Hyperdiploid	Hyperdiploid	Hyperdiploid	Hyperdiploid	Hyperdiploid	Hyperdiploid	Hyperdiploid	Hyperdiploid	Hyperdiploid	Hyperdiploid	Hyperdiploid	Hyperdiploid
3650	Hyperdiploid	Hyperdiploid	Hyperdiploid	Hyperdiploid	Hyperdiploid	Hyperdiploid	Hyperdiploid	Hyperdiploid	Hyperdiploid	Hyperdiploid	Hyperdiploid	Hyperdiploid	Hyperdiploid	Hyperdiploid	Hyperdiploid	Hyperdiploid	Hyperdiploid	Hyperdiploid	Hyperdiploid	Hyperdiploid
4100	Hyperdiploid	Hyperdiploid	Hyperdiploid	Hyperdiploid	Hyperdiploid	Hyperdiploid	Hyperdiploid	Hyperdiploid	Hyperdiploid	Hyperdiploid	Hyperdiploid	Hyperdiploid	Hyperdiploid	Hyperdiploid	Hyperdiploid	Hyperdiploid	Hyperdiploid	Hyperdiploid	Hyperdiploid	Hyperdiploid
4550	Hyperdiploid	Hyperdiploid	Hyperdiploid	Hyperdiploid	Hyperdiploid	Hyperdiploid	Hyperdiploid	Hyperdiploid	Hyperdiploid	Hyperdiploid	Hyperdiploid	Hyperdiploid	Hyperdiploid	Hyperdiploid	Hyperdiploid	Hyperdiploid	Hyperdiploid	Hyperdiploid	Hyperdiploid	Hyperdiploid
5000	Hyperdiploid	Hyperdiploid	Hyperdiploid	Hyperdiploid	Hyperdiploid	Hyperdiploid	Hyperdiploid	Hyperdiploid	Hyperdiploid	Hyperdiploid	Hyperdiploid	Hyperdiploid	Hyperdiploid	Hyperdiploid	Hyperdiploid	Hyperdiploid	Hyperdiploid	Hyperdiploid	Hyperdiploid	Hyperdiploid
