COH_sample	batch	batch1	batch2	batch3
COH000141_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000142_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000143_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000144_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000145_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000146_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000147_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000148_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000149_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000150_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000151_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000152_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000153_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000154_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000155_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000156_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000157_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000158_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000159_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000160_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000161_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000162_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000163_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000164_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000165_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000166_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000167_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000168_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000169_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000170_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000171_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000172_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000173_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000174_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000175_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000176_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000177_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000178_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000179_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000180_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000181_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000182_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000183_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000184_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000185_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000186_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000187_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000188_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000189_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000190_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000191_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000192_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
