COH_sample	batch	batch1	batch2	batch3
COH000396_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000397_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000398_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000399_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000400_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000401_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000402_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000403_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000404_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000405_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000406_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000407_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000408_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000409_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000410_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000411_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000412_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000413_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000414_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000415_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000416_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000417_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000418_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000419_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000420_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000421_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000422_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000423_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000424_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000425_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000426_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000427_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000428_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000429_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000430_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000431_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000432_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000433_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000434_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000435_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000436_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000437_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000438_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000439_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000440_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000441_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000442_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000443_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000444_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000445_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000446_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000447_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000448_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000449_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000450_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000451_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000452_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000453_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000454_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000455_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000456_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000457_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000458_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000459_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000460_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000461_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000462_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000463_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000464_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000465_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000466_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000467_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000468_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000469_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000470_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000471_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000472_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000473_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000474_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000475_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000476_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000477_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000478_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000479_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000480_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000481_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000482_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000483_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000484_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000485_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000486_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000487_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000488_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000489_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000490_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000491_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000492_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000493_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000494_D1	Unstranded_mRNA_PE100bp	Unstranded	mRNA	PE100bp
COH000495_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000496_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000497_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000498_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000499_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000500_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000501_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000502_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000503_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000504_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000505_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000506_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000507_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000508_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000509_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000510_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000511_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000512_D1	Unstranded_mRNA_PE75bp	Unstranded	mRNA	PE75bp
COH000513_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000514_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000515_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000516_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000517_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000518_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000519_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000520_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000521_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000522_D1	Unstranded_mRNA_PE100bp	Unstranded	mRNA	PE100bp
COH000523_D1	Unstranded_mRNA_PE100bp	Unstranded	mRNA	PE100bp
COH000524_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000525_D1	Unstranded_mRNA_PE100bp	Unstranded	mRNA	PE100bp
COH000526_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000527_D1	Unstranded_mRNA_PE100bp	Unstranded	mRNA	PE100bp
COH000528_D1	Unstranded_mRNA_PE100bp	Unstranded	mRNA	PE100bp
COH000529_D1	Unstranded_mRNA_PE100bp	Unstranded	mRNA	PE100bp
COH000530_D1	Unstranded_mRNA_PE100bp	Unstranded	mRNA	PE100bp
COH000531_D1	Unstranded_mRNA_PE100bp	Unstranded	mRNA	PE100bp
COH000532_D1	Unstranded_mRNA_PE100bp	Unstranded	mRNA	PE100bp
COH000533_D1	Unstranded_mRNA_PE100bp	Unstranded	mRNA	PE100bp
COH000534_D1	Unstranded_mRNA_PE100bp	Unstranded	mRNA	PE100bp
COH000535_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000536_D1	Unstranded_mRNA_PE100bp	Unstranded	mRNA	PE100bp
COH000537_D1	Unstranded_mRNA_PE100bp	Unstranded	mRNA	PE100bp
COH000538_D1	Unstranded_mRNA_PE100bp	Unstranded	mRNA	PE100bp
COH000539_D1	Unstranded_mRNA_PE100bp	Unstranded	mRNA	PE100bp
COH000540_D1	Unstranded_mRNA_PE100bp	Unstranded	mRNA	PE100bp
COH000541_D1	Unstranded_mRNA_PE100bp	Unstranded	mRNA	PE100bp
COH000542_D1	Unstranded_mRNA_PE100bp	Unstranded	mRNA	PE100bp
COH000543_D1	Unstranded_mRNA_PE100bp	Unstranded	mRNA	PE100bp
COH000544_D1	Unstranded_mRNA_PE100bp	Unstranded	mRNA	PE100bp
COH000545_D1	Unstranded_mRNA_PE100bp	Unstranded	mRNA	PE100bp
COH000546_D1	Unstranded_mRNA_PE100bp	Unstranded	mRNA	PE100bp
COH000547_D1	Unstranded_mRNA_PE100bp	Unstranded	mRNA	PE100bp
COH000548_D1	Unstranded_mRNA_PE100bp	Unstranded	mRNA	PE100bp
COH000549_D1	Unstranded_mRNA_PE100bp	Unstranded	mRNA	PE100bp
COH000550_D1	Unstranded_mRNA_PE100bp	Unstranded	mRNA	PE100bp
COH000551_D1	Unstranded_mRNA_PE100bp	Unstranded	mRNA	PE100bp
COH000552_D1	Unstranded_mRNA_PE100bp	Unstranded	mRNA	PE100bp
COH000553_D1	Unstranded_mRNA_PE100bp	Unstranded	mRNA	PE100bp
COH000554_D1	Unstranded_mRNA_PE100bp	Unstranded	mRNA	PE100bp
COH000555_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000556_D1	Unstranded_mRNA_PE100bp	Unstranded	mRNA	PE100bp
COH000557_D1	Unstranded_mRNA_PE100bp	Unstranded	mRNA	PE100bp
COH000558_D1	Unstranded_mRNA_PE100bp	Unstranded	mRNA	PE100bp
COH000559_D1	Unstranded_mRNA_PE100bp	Unstranded	mRNA	PE100bp
COH000560_D1	Unstranded_mRNA_PE100bp	Unstranded	mRNA	PE100bp
COH000561_D1	Unstranded_mRNA_PE100bp	Unstranded	mRNA	PE100bp
COH000562_D1	Unstranded_mRNA_PE100bp	Unstranded	mRNA	PE100bp
COH000563_D1	Unstranded_mRNA_PE100bp	Unstranded	mRNA	PE100bp
COH000564_D1	Unstranded_mRNA_PE100bp	Unstranded	mRNA	PE100bp
COH000565_D1	Unstranded_mRNA_PE100bp	Unstranded	mRNA	PE100bp
COH000566_D1	Unstranded_mRNA_PE100bp	Unstranded	mRNA	PE100bp
COH000567_D1	Unstranded_mRNA_PE100bp	Unstranded	mRNA	PE100bp
COH000568_D1	Unstranded_mRNA_PE100bp	Unstranded	mRNA	PE100bp
COH000569_D1	Unstranded_mRNA_PE100bp	Unstranded	mRNA	PE100bp
COH000570_D1	Unstranded_mRNA_PE100bp	Unstranded	mRNA	PE100bp
COH000571_D1	Unstranded_mRNA_PE100bp	Unstranded	mRNA	PE100bp
COH000572_D1	Unstranded_mRNA_PE100bp	Unstranded	mRNA	PE100bp
COH000573_D1	Unstranded_mRNA_PE100bp	Unstranded	mRNA	PE100bp
COH000574_D1	Unstranded_mRNA_PE100bp	Unstranded	mRNA	PE100bp
COH000575_D1	Unstranded_mRNA_PE100bp	Unstranded	mRNA	PE100bp
COH000576_D1	Unstranded_mRNA_PE100bp	Unstranded	mRNA	PE100bp
COH000577_D1	Unstranded_mRNA_PE100bp	Unstranded	mRNA	PE100bp
COH000578_D1	Unstranded_mRNA_PE100bp	Unstranded	mRNA	PE100bp
COH000579_D1	Unstranded_mRNA_PE100bp	Unstranded	mRNA	PE100bp
COH000580_D1	Unstranded_mRNA_PE100bp	Unstranded	mRNA	PE100bp
COH000581_D1	Unstranded_mRNA_PE100bp	Unstranded	mRNA	PE100bp
COH000582_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000583_D1	Unstranded_mRNA_PE100bp	Unstranded	mRNA	PE100bp
COH000584_D1	Unstranded_mRNA_PE100bp	Unstranded	mRNA	PE100bp
COH000585_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000586_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000587_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000588_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000589_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000590_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000591_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000592_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000593_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000594_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000595_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000596_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000597_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000598_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000599_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000600_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000601_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000602_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000603_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000604_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000605_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000606_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000607_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000608_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000609_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000610_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000611_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000612_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000613_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000614_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000615_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000616_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000617_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000618_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000619_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000620_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000621_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000622_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000623_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000624_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000625_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000626_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000627_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000628_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000629_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000630_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000631_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000632_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000633_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000634_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000635_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000636_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000637_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000638_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000639_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000640_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000641_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000642_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000643_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000644_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000645_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000646_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000647_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000648_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000649_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000650_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000651_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000652_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000653_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000654_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000655_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000656_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000657_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000658_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000659_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000660_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000661_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000662_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000663_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000664_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000665_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000666_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000667_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000668_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000669_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000670_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000671_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000672_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000673_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000674_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000675_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000676_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000677_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000678_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000679_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000680_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000681_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000682_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000683_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000684_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000685_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000686_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000687_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000688_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000689_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000690_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000691_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000692_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000693_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000694_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000695_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000696_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000697_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000698_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000699_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000700_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000701_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000702_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000703_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000704_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000705_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000706_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000707_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000708_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000709_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000710_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000711_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000712_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000713_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000714_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000715_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000716_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000717_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000718_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000719_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000720_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000721_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000722_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000723_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000724_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000725_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000726_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000727_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
