COH_sample	X	Y	Z	PerplexityN	FeatureN
COH000066_D1	-6.80880884667757	10.3636653313683	29.5023640863008	20	200
COH000067_D1	-7.74863754341897	3.29853970037445	23.37234688653	20	200
COH000068_D1	-3.72129882866432	5.66801763483849	22.8327574274332	20	200
COH000069_D1	-4.99203011767083	3.98358230812489	26.5365051304706	20	200
COH000071_D1	-5.34724603919316	-12.2775385967371	-38.7447043867784	20	200
COH000073_D1	-6.55862820304033	10.4320339312502	28.7893078027927	20	200
COH000074_D1	-8.02150593796498	3.84383999366303	22.2014235668764	20	200
COH000075_D1	-5.99455537100693	8.26723300752963	24.8048496662686	20	200
COH000077_D1	-4.816835325681	3.78055178395876	25.6629427292565	20	200
COH000079_D1	-5.67272759037537	8.33326956408213	24.4602665917535	20	200
COH000081_D1	-8.42298351774584	8.38253292331004	13.7520875280186	20	200
COH000082_D1	-10.204164284718	4.81019194555482	18.0922377404438	20	200
COH000083_D1	-21.6999565278338	25.0113342565875	20.582075826238	20	200
COH000084_D1	-6.91770001617543	10.2025509159076	28.8440464078945	20	200
COH000085_D1	-8.6278615573527	6.59236868147728	21.4778954896821	20	200
COH000086_D1	-4.89405066057748	3.89023208841116	26.8375651008639	20	200
COH000087_D1	-10.2787749998997	5.93066647586866	24.8107851029524	20	200
COH000088_D1	-8.60082491819056	5.14412614676297	24.2168573713098	20	200
COH000089_D1	-3.02035620850779	16.0348574529534	27.5797581417657	20	200
COH000090_D1	-3.01931104598747	16.1337935532385	27.4865802877097	20	200
COH000092_D1	-22.6198471097341	25.9832855237689	20.1083705068163	20	200
COH000093_D1	-22.5184916003994	25.6799244348905	21.4654983606702	20	200
COH000094_D1	-5.29060765361751	5.24964295394184	26.8206683305957	20	200
COH000095_D1	-9.3061328113767	5.33370425063198	26.999087962522	20	200
COH000096_D1	-3.86570318239808	5.75268301164033	22.5849379447815	20	200
COH000097_D1	-10.3171745127981	6.3309318485029	24.8469709100067	20	200
COH000098_D1	-9.70212107085904	6.0829655329689	26.1993100502142	20	200
COH000099_D1	-5.65932546326514	3.95983702899357	25.2617441006027	20	200
COH000102_D1	-9.37298058762688	9.19581563229517	16.316974969935	20	200
COH000103_D1	-6.42707214347752	10.5450812983748	28.9552625223526	20	200
COH000104_D1	-4.28472938117282	16.0697214477382	28.2127761355061	20	200
COH000105_D1	-9.67785470421385	9.63250007234533	16.5234954746149	20	200
COH000106_D1	-22.029136987454	25.9077325668749	21.1690315935774	20	200
COH000109_D1	-5.46870671755027	10.2820136945419	19.7200456885394	20	200
COH000110_D1	-4.01992417583319	4.4428190316624	25.930447707238	20	200
COH000111_D1	8.90861408041635	29.0909922892044	40.9661198218133	20	200
COH000112_D1	12.497930242939	31.2874154757615	41.521871145193	20	200
COH000113_D1	-9.15396973001065	12.8581141653048	17.312870105175	20	200
COH000114_D1	-28.092786200366	16.8106814070861	-25.3869810250957	20	200
COH000115_D1	-9.38859185929824	10.5897929967084	16.2312516379749	20	200
COH000116_D1	28.2679682305512	30.5298464251333	-3.11232627860186	20	200
COH000117_D1	11.5418311857656	33.0960687873176	38.6666268377898	20	200
COH000119_D1	-7.17728037483619	8.47749638622973	19.3067090263475	20	200
COH000120_D1	-1.22473404897345	-6.40832091246869	-33.2214802598169	20	200
COH000121_D1	-20.9158983958688	24.3641156342796	20.7412384627351	20	200
COH000122_D1	30.2925789035314	26.3921470772948	-1.07644724537631	20	200
COH000123_D1	-29.4137835082755	15.0306721341941	-23.4378749099515	20	200
COH000124_D1	4.00123532904818	-44.1974401867208	6.66792223839825	20	200
COH000125_D1	-2.18693566258499	-7.03393799537852	-33.5268880296527	20	200
COH000126_D1	31.9715582612917	26.2421989827741	-1.3508693153962	20	200
COH000127_D1	-7.99834587728224	10.5022741376769	16.7982854777617	20	200
COH000128_D1	-2.660080581268	-41.0624005132262	6.27010543453427	20	200
COH000130_D1	4.54743245902051	-44.7562234244014	7.42121733064426	20	200
COH000132_D1	-6.13500654769844	13.531103905534	14.6561450303444	20	200
COH000134_D1	3.48281822417542	-10.371525513509	-29.7614168568808	20	200
COH000136_D1	29.1033330490958	10.7692949292669	-34.5812979074785	20	200
COH000137_D1	15.6271567760444	0.842011791898413	13.7084369401598	20	200
COH000138_D1	-4.35452271034098	16.6070509550182	29.2461877862257	20	200
COH000139_D1	5.17612117512591	-36.6686557223581	3.03175504480394	20	200
COH000141_D1	29.3269465471333	11.6458307126288	-34.7770518484877	20	200
COH000142_D1	-4.12417284206479	-42.5353411209674	8.07412166522978	20	200
