COH_sample	X	Y	Z	PerplexityN	FeatureN
COH000066_D1	-8.78774367567777	11.5736951894307	27.1262531425636	20	200
COH000067_D1	-11.5644706812335	5.54165043200162	20.4302733839799	20	200
COH000068_D1	-6.63630199085635	7.90016579047573	19.0065322440798	20	200
COH000069_D1	-7.05253260021522	6.12004380473213	22.2324388226123	20	200
COH000071_D1	-3.98330627079802	-12.4559167030803	-35.6179745106589	20	200
COH000073_D1	-8.50545001249885	11.8202092104304	26.4578623314327	20	200
COH000074_D1	-11.8919106227522	5.93243081583886	19.2959069062715	20	200
COH000075_D1	-8.66296074288986	10.2937092183214	21.6319233622728	20	200
COH000077_D1	-7.75212401592595	5.750716507934	21.314038771968	20	200
COH000079_D1	-8.37127044991627	10.3846970062484	21.257368250547	20	200
COH000081_D1	-12.5710412001498	13.296539597929	9.89538634343291	20	200
COH000082_D1	-12.6827873561464	8.49211528289503	14.2903843831385	20	200
COH000083_D1	-21.6396838829537	30.455269115164	24.7941949960925	20	200
COH000084_D1	-8.82712806811115	11.5773249139392	26.3980040813712	20	200
COH000085_D1	-11.6074997395914	9.63296401414375	18.139914911528	20	200
COH000086_D1	-6.69840826925093	6.14189469933077	22.3032595693959	20	200
COH000087_D1	-12.9904844774678	8.77584130261291	21.242443300828	20	200
COH000088_D1	-11.55979352067	7.68352947151772	20.664938439818	20	200
COH000089_D1	-5.18738504588263	16.4756494669222	27.4342217716527	20	200
COH000090_D1	-5.15892180469151	16.5572123588456	27.3900206010871	20	200
COH000092_D1	-22.5831738626315	31.5125937909961	25.1329585897544	20	200
COH000093_D1	-21.1397825292711	31.5513135399666	25.3410834442599	20	200
COH000094_D1	-7.26436737818763	7.12487838308185	22.7328451036952	20	200
COH000095_D1	-12.0278945429821	6.85411505494821	22.5686054933474	20	200
COH000096_D1	-6.79390559233669	8.06042846263803	18.7977239044873	20	200
COH000097_D1	-12.941144580901	9.09679121824333	21.4073811336742	20	200
COH000098_D1	-12.5086884792998	7.97342494351154	22.3821216192571	20	200
COH000099_D1	-8.55324713185633	6.10546973844237	20.9884226647595	20	200
COH000102_D1	-12.9321153874006	13.2824279182845	12.8980026922003	20	200
COH000103_D1	-8.39858285496892	11.8910659661984	26.6756354403736	20	200
COH000104_D1	-6.53378277395086	17.0133565950856	27.4516621053395	20	200
COH000105_D1	-13.0583801271938	13.6953953616389	13.2446396597251	20	200
COH000106_D1	-21.4225040303377	31.5349672308862	24.7804860437889	20	200
COH000109_D1	-8.66859540860894	13.2237024268936	17.2582166841068	20	200
COH000110_D1	-7.0062360150695	6.07534419155341	21.4297284856254	20	200
COH000111_D1	7.63943212463531	33.8876913751937	44.1451336327781	20	200
COH000112_D1	8.37278351738171	36.3003837770422	40.7666133685284	20	200
COH000113_D1	-11.11541342238	15.8778028843066	14.9636899166411	20	200
COH000114_D1	-27.2527990051318	16.9576632712658	-23.7642723220163	20	200
COH000115_D1	-12.4963548917498	14.5208189702393	13.3409625306336	20	200
COH000116_D1	31.5862724228261	31.9976080126641	-6.11043719813808	20	200
COH000117_D1	5.68059322734369	34.5341569144534	39.1463985086271	20	200
COH000119_D1	-10.1490402104711	11.7773040145139	16.1151945062745	20	200
COH000120_D1	2.4441230931739	-8.84902190380744	-30.3819649162149	20	200
COH000121_D1	-21.3416140246068	29.6371346751881	24.3029845783624	20	200
COH000122_D1	31.475699884091	27.536218666683	-3.50127688127593	20	200
COH000123_D1	-26.3053507210665	14.1927728784132	-23.096779395714	20	200
COH000124_D1	3.65446612373665	-46.4202670728738	9.53989720765624	20	200
COH000125_D1	1.2129269928815	-8.98658595056331	-30.5350433296206	20	200
COH000126_D1	32.9148648012755	27.1903380857803	-2.76265872827349	20	200
COH000127_D1	-10.9115437863684	14.0140459270871	13.7362603110396	20	200
COH000128_D1	-3.56876725982695	-46.5087278304783	8.29963876030414	20	200
COH000130_D1	4.4869104136578	-46.3197777270497	10.3301249624564	20	200
COH000132_D1	-8.71672992756268	17.269935845853	12.449603737828	20	200
COH000134_D1	3.53160049516004	-17.257723993543	-27.8948097725486	20	200
COH000136_D1	34.0623987710228	17.8839851210418	-43.3938670974609	20	200
COH000137_D1	14.0684881365068	-2.49316098073998	10.0328700154057	20	200
COH000138_D1	-6.75905582177925	17.7896547375431	28.275609752222	20	200
COH000139_D1	2.53770254461006	-42.5036767609287	2.45091712710364	20	200
COH000141_D1	33.7396170762571	18.6755024865877	-43.0901551508752	20	200
COH000142_D1	-4.79018269740584	-46.8343011539493	10.7096264973435	20	200
COH000143_D1	35.0395022937557	26.2007799570919	-4.57239948008821	20	200
COH000144_D1	16.4976371617678	-7.42494161187151	48.3149080910081	20	200
COH000145_D1	-25.6015919761226	13.8693101397149	-23.7127139634418	20	200
COH000146_D1	0.218504073872014	-40.9706481622523	3.16477472100191	20	200
COH000147_D1	15.4976098919744	-7.71560429740336	48.5403926320181	20	200
COH000150_D1	5.3299543679256	-14.9325176302696	-30.6260348774688	20	200
COH000151_D1	-61.1864673729005	2.33329612280342	10.3556984967372	20	200
COH000152_D1	3.65925717033598	-42.8718850356634	1.6999497879061	20	200
COH000154_D1	3.2128290381281	-42.8004182007005	1.86004593171013	20	200
COH000157_D1	8.07503218497538	-51.3047615831343	4.67144030177925	20	200
COH000158_D1	32.5711642143979	26.9805184149828	-2.6788978720538	20	200
COH000159_D1	-8.31382889299463	10.6111933526505	20.3015523246938	20	200
COH000161_D1	-61.3888187811024	1.37964059537999	7.62298992370069	20	200
