FeatureN	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21
50	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	Ph	PAX5alt	PAX5alt	PAX5alt
100	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	ZNF384	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt
150	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt
200	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt
250	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt
300	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt
350	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt
400	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	Ph
450	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt
500	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt
550	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	Ph	PAX5alt	PAX5alt
600	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt
